seller_id,productId,title,description,imageUrlStr,quantity,mrp,sellingPrice,specialPrice,categories,productBrand,productFamily,inStock,codAvailable,offers,discount,shippingCharges,deliveryTime,size,color,sizeUnit,storage,displaySize,keySpecsStr,detailedSpecsStr,specificationList,sellerName,sellerAverageRating,sellerNoOfRatings,sellerNoOfReviews,sleeve,neck,idealFor
,DEAL-JD-5100084621,PHOSPHOR SLING BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Black--Color-Canvas-Synthetic-Sling-Bag-4502-2287631-1-pdp_slider_l.jpg,1,2750,2750,2750,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,3.9739413,614,21,,,
,DEAL-JD-5100084626,PHOSPHOR SLING BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Green-Color-Canvas-Synthetic-Sling-Bag-9807-6387631-1-pdp_slider_l.jpg,1,2875,2875,2875,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,3.9459877,648,21,,,
,DEAL-JD-5100084627,PHOSPHOR SLING BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Navy-Blue-Canvas-Synthetic-Sling-Bag-5750-4387631-1-pdp_slider_l.jpg,1,2875,2875,2875,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,3.731239,573,31,,,
,DEAL-JD-5100084622,PHOSPHOR SLING BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Khaki-Color-Canvas-Synthetic-Sling-Bag-5002-6287631-1-pdp_slider_l.jpg,1,3000,3000,3000,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,4.086817,311,11,,,
,DEAL-JD-5100084623,PHOSPHOR SLING BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Grey-Color-Canvas-Synthetic-Sling-Bag-5002-8287631-1-pdp_slider_l.jpg,1,3000,3000,3000,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,3.9457917,1402,49,,,
,DEAL-JD-5100084624,PHOSPHOR SLING BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Khaki-Color-Canvas-Synthetic-Sling-Bag-5650-2387631-1-pdp_slider_l.jpg,1,3125,3125,3125,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,3.9411283,1223,35,,,
,DEAL-JD-5100084625,PHOSPHOR SLING BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Brown-Color-Canvas-Synthetic-Sling-Bag-5326-0387631-1-pdp_slider_l.jpg,1,3125,3125,3125,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,4.2323165,5746505,254630,,,
,DEAL-JD-5100084628,PHOSPHOR SLING BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Green-Color-Canvas-Synthetic-Sling-Bag-4804-0487631-1-pdp_slider_l.jpg,1,3250,3250,3250,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,3.893366,2035,130,,,
,DEAL-JD-5100084629,PHOSPHOR SLING BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Navy-Blue-Color-Canvas-Synthetic-Sling-Bag-2913-8387631-1-pdp_slider_l.jpg,1,3250,3250,3250,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,3.7364748,573,32,,,
,DEAL-JD-5100084553,INCULT LAPTOP BAG(Size - STANDARD ),,http://static2.jassets.com/p/Incult-Assorted-Laptop-Bag-9172-0238631-1-pdp_slider_l.jpg,1,4050,4050,4050,20,INCULT,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,4.2323165,5746505,254630,,,
,DEAL-JD-5100084541,INCULT LAPTOP BAG(Size - STANDARD ),,http://static2.jassets.com/p/Incult-Multicoloured-Laptop-Bag-9613-0138631-1-pdp_slider_l.jpg,1,4299,4299,4299,20,INCULT,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,3.731239,573,31,,,
,DEAL-JD-5100084593,PHOSPHOR LAPTOP BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Blue-Canvas-Synthetic-Laptop-Bag-5529-6087631-1-pdp_slider_l.jpg,1,3750,3750,3750,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,3.3453608,194,19,,,
,DEAL-JD-5100084594,PHOSPHOR LAPTOP BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Green-Canvas-Synthetic-Laptop-Bag-6422-6567631-1-pdp_slider_l.jpg,1,3750,3750,3750,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,4.2323165,5746505,254630,,,
,DEAL-JD-5100084613,PHOSPHOR LAPTOP BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Khaki-Canvas-Synthetic-Laptop-Bag-4508-0877631-1-pdp_slider_l.jpg,1,3875,3875,3875,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,4.1067963,309,15,,,
,DEAL-JD-5100084614,PHOSPHOR LAPTOP BAG(Size - STANDARD ),,http://static2.jassets.com/p/Phosphorus-Grey-Canvas-Synthetic-Laptop-Bag-6420-4877631-1-pdp_slider_l.jpg,1,3875,3875,3875,20,PHOSPHOR,,TRUE,TRUE,,5,0,Usually Delivered within 8 days.,,,,,,,,,,4.2323165,5746505,254630,,,
